Gender,Age,Height_In_Inches,Weight_In_Pounds,BMI
Female,31,67.46994,121.8602,18.82088593
Female,24,66.50874,132.745,21.09888744
Male,27,69.39596,131.8885,19.2547275
Female,23,66.45704,120.7458,19.22157052
Female,21,68.19583,146.2667,22.11203169
Female,19,70.33758,135.3466,19.2340761
Female,25,66.63111,141.1397,22.35084349
Male,24,69.95437,150.2712,21.58961406
Male,30,65.012,118.4233,19.69921542
Female,32,69.35969,151.1659,22.09216972
Male,25,67.75587,132.6394,20.31316145
Male,20,66.5613,122.0259,19.364543
Female,30,68.89261,133.0703,19.71218122
Male,32,62.64242,100.1982,17.95236583
Female,27,68.20539,116.9375,17.67320176
Male,33,64.94671,129.5048,21.58591077
Female,20,67.90679,111.664,17.02494046
Female,23,69.39009,117.0886,17.09694582
Male,21,69.06657,142.6149,21.01976946
Female,29,68.14995,110.4678,16.72258629
Male,31,70.54344,145.1882,20.5124189
Female,27,66.96037,125.1157,19.61891314
Female,29,70.87923,144.9908,20.29089895
Male,18,70.00417,140.7597,20.19432469
Male,21,67.58689,118.6697,18.26475043
Female,21,67.86942,130.7553,19.95767057
Male,31,64.65699,111.5398,18.75848324
Male,23,66.99756,122.3414,19.16259395
Male,29,71.36846,127.9637,17.66334541
Female,32,66.7395,118.3091,18.67459006
Male,34,71.65513,146.9261,20.11885211
Female,30,67.97094,139.9751,21.30115037
Female,28,68.38089,124.6962,18.7491915
Male,23,67.39726,131.4489,20.34563731
Female,18,67.01009,135.9007,21.27845617
Female,26,69.62365,146.1419,21.19629711
Female,27,68.63254,122.6639,18.30861316
Male,25,65.50148,106.2971,17.41879124
Male,24,64.15481,101.7546,17.38178721
Female,26,66.4542,133.0311,21.17908228
Female,20,69.48099,123.9738,18.05496876
Female,21,64.53827,121.1495,20.44964677
Male,33,65.12741,109.1273,18.088586
Male,24,69.45026,117.4511,17.12017346
Male,32,67.10438,111.593,17.42344547
Female,28,69.7299,126.5069,18.29257956
Female,29,66.31984,120.267,19.22464647
Female,34,68.29721,140.0057,21.1027287
Male,32,70.10401,139.2201,19.91659279
Male,22,68.44638,132.1454,19.8312416
Female,26,66.6984,128.4838,20.30562515
Male,23,64.3262,114.3648,19.43190619
Male,29,70.54908,132.7834,18.75684974
Female,23,69.35974,130.6723,19.09710105
Female,35,67.19021,125.038,19.47281982
Male,18,63.01405,116.679,20.65935392
Male,25,68.02075,131.2079,19.9377422
Male,24,66.35807,119.5823,19.09317853
Female,32,69.32421,129.7352,18.97958845
Female,32,66.7024,122.7568,19.3982013
Female,29,67.89223,128.9499,19.6688825
Male,34,71.22339,140.4949,19.47215876
Female,26,66.48568,117.9041,18.75303229
Female,31,65.76272,118.194,19.21474915
Female,34,69.83059,134.0241,19.32370062
Female,18,64.21102,113.6698,19.38316899
Female,20,70.62492,136.7641,19.27769025
Male,28,69.72296,150.2475,21.72973579
Female,31,67.30525,135.6227,21.04909007
Female,35,67.19997,122.9425,19.14091548
Female,25,68.51303,135.6923,20.32392943
Male,33,63.727,120.0775,20.78803851
Female,21,68.43965,121.7398,18.27325219
Male,23,66.37336,122.3126,19.52011694
Female,30,69.04887,132.7148,19.57064006
Female,22,69.27278,141.667,20.75593431
Female,18,69.55787,136.3448,19.8127543
Female,18,65.97323,132.5458,21.41062277
Female,19,69.51352,143.2796,20.84705071
Female,31,67.48073,118.8642,18.35229372
Male,33,68.69464,136.1453,20.28410141
Female,34,70.01336,137.4849,19.7193223
Male,20,68.4414,129.9912,19.51079687
Female,22,69.96109,142.6425,20.48965431
Female,32,66.37001,133.1274,21.24821773
Female,33,68.66259,138.6358,20.67444473
Female,35,66.65856,112.9117,17.8659418
Female,30,69.55725,143.996,20.92495077
Female,29,67.58597,130.0804,20.02154489
Male,21,67.15976,135.3002,21.09011711
Female,24,66.59713,131.487,20.84349839
Male,35,66.57,126.0029,19.99043527
Female,20,67.72393,134.167,20.56649236
Male,26,66.37759,132.7138,21.17736626
Male,32,65.48775,125.4251,20.56189519
Female,20,69.15557,131.1976,19.28725329
Female,23,68.03119,141.6933,21.52444705
Female,33,67.3748,133.9821,20.75155407
Female,20,69.62903,120.2989,17.44535413
Female,26,68.18813,119.2532,18.03230749
Male,25,68.43131,133.9318,20.10818266
Female,18,67.05044,128.3177,20.066985
Female,21,66.13335,119.3266,19.18205116
Female,19,69.13179,117.918,17.34695789
